,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,TSLA,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Tesla Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,795.35,,-42.95,-5.12%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"822,000M",162.29,2.04,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,TSLA,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Nov 29, 2021","1,100.99","1,142.67","1,100.19","1,136.99","19,464,467"
,"Nov 30, 2021","1,144.37","1,168.00","1,118.00","1,144.76","27,092,038"
,"Dec 1, 2021","1,160.70","1,172.84","1,090.76","1,095.00","22,934,698"
,"Dec 2, 2021","1,099.06","1,113.00","1,056.65","1,084.60","24,371,623"
,"Dec 3, 2021","1,084.79","1,090.58","1,000.21","1,014.97","30,773,995"
,"Dec 6, 2021","1,001.51","1,021.64",950.50,"1,009.01","27,221,037"
,"Dec 7, 2021","1,044.20","1,057.67","1,026.81","1,051.75","18,694,857"
,"Dec 8, 2021","1,052.71","1,072.38","1,033.00","1,068.96","13,968,790"
,"Dec 9, 2021","1,060.64","1,062.49","1,002.36","1,003.80","19,812,832"
,"Dec 10, 2021","1,008.75","1,020.98",982.53,"1,017.03","19,888,122"
,"Dec 13, 2021","1,001.09","1,005.00",951.42,966.41,"26,198,502"
,"Dec 14, 2021",945.00,966.41,930.00,958.51,"23,602,090"
,"Dec 15, 2021",953.21,978.75,928.25,975.99,"25,056,410"
,"Dec 16, 2021",994.50,994.98,921.85,926.92,"27,590,483"
,"Dec 17, 2021",914.77,960.66,909.04,932.57,"33,626,754"
,"Dec 20, 2021",910.70,921.69,893.39,899.94,"18,826,671"
,"Dec 21, 2021",916.87,939.50,886.12,938.53,"23,839,305"
,"Dec 22, 2021",965.66,"1,015.66",957.05,"1,008.87","31,211,362"
,"Dec 23, 2021","1,006.80","1,072.98",997.56,"1,067.00","30,904,429"
,"Dec 27, 2021","1,073.67","1,117.00","1,070.72","1,093.94","23,715,273"
,"Dec 28, 2021","1,109.49","1,119.00","1,078.42","1,088.47","20,107,969"
,"Dec 29, 2021","1,098.64","1,104.00","1,064.14","1,086.19","18,718,015"
,"Dec 30, 2021","1,061.33","1,095.55","1,053.15","1,070.34","15,680,313"
,"Dec 31, 2021","1,073.44","1,082.00","1,054.59","1,056.78","13,577,875"
,"Jan 3, 2022","1,147.75","1,201.07","1,136.04","1,199.78","34,895,349"
,"Jan 4, 2022","1,189.55","1,208.00","1,123.05","1,149.59","33,416,086"
,"Jan 5, 2022","1,146.65","1,170.34","1,081.01","1,088.12","26,706,599"
,"Jan 6, 2022","1,077.00","1,088.00","1,020.50","1,064.70","30,112,158"
,"Jan 7, 2022","1,080.37","1,080.93","1,010.00","1,026.96","28,054,916"
,"Jan 10, 2022","1,000.00","1,059.10",980.00,"1,058.12","30,604,959"
,"Jan 11, 2022","1,053.67","1,075.85","1,038.82","1,064.40","22,021,070"
,"Jan 12, 2022","1,078.85","1,114.84","1,072.59","1,106.22","27,913,005"
,"Jan 13, 2022","1,109.07","1,115.60","1,026.54","1,031.56","32,403,264"
,"Jan 14, 2022","1,019.88","1,052.00","1,013.38","1,049.61","24,308,137"
,"Jan 18, 2022","1,026.61","1,070.79","1,016.06","1,030.51","22,329,803"
,"Jan 19, 2022","1,041.71","1,054.67",995.00,995.65,"25,147,496"
,"Jan 20, 2022","1,009.73","1,041.66",994.00,996.27,"23,496,248"
,"Jan 21, 2022",996.34,"1,004.55",940.50,943.90,"34,472,009"
,"Jan 24, 2022",904.76,933.51,851.47,930.00,"50,791,714"
,"Jan 25, 2022",914.20,951.26,903.21,918.40,"28,865,302"
,"Jan 26, 2022",952.43,987.69,906.00,937.41,"34,955,761"
,"Jan 27, 2022",933.36,935.39,829.00,829.10,"49,036,523"
,"Jan 28, 2022",831.56,857.50,792.01,846.35,"44,929,650"
,"Jan 31, 2022",872.71,937.99,862.05,936.72,"34,812,032"
,"Feb 1, 2022",935.21,943.70,905.00,931.25,"24,379,446"
,"Feb 2, 2022",928.18,931.50,889.41,905.66,"22,264,345"
,"Feb 3, 2022",882.00,937.00,880.52,891.14,"26,285,186"
,"Feb 4, 2022",897.22,936.50,881.17,923.32,"24,541,822"
,"Feb 7, 2022",923.79,947.77,902.71,907.34,"20,331,488"
,"Feb 8, 2022",905.53,926.29,894.80,922.00,"16,909,671"
,"Feb 9, 2022",935.00,946.27,920.00,932.00,"17,419,848"
,"Feb 10, 2022",908.37,943.81,896.70,904.55,"22,042,277"
,"Feb 11, 2022",909.63,915.96,850.70,860.00,"26,548,623"
,"Feb 14, 2022",861.57,898.88,853.15,875.76,"22,585,472"
,"Feb 15, 2022",900.00,923.00,893.38,922.43,"19,216,514"
,"Feb 16, 2022",914.05,926.43,901.21,923.39,"17,098,132"
,"Feb 17, 2022",913.26,918.50,874.10,876.35,"18,392,806"
,"Feb 18, 2022",886.00,886.87,837.61,856.98,"22,833,947"
,"Feb 22, 2022",834.13,856.73,801.10,821.53,"27,762,734"
,"Feb 23, 2022",830.43,835.30,760.56,764.04,"31,752,336"
,"Feb 24, 2022",700.39,802.48,700.00,800.77,"45,107,425"
,"Feb 25, 2022",809.23,819.50,782.40,809.87,"25,355,921"
,"Feb 28, 2022",815.01,876.86,814.71,870.43,"33,002,289"
,"Mar 1, 2022",869.68,889.88,853.78,864.37,"24,922,287"
,"Mar 2, 2022",872.13,886.48,844.27,879.89,"24,881,146"
,"Mar 3, 2022",878.77,886.44,832.60,839.29,"20,541,169"
,"Mar 4, 2022",849.10,855.65,825.16,838.29,"22,393,287"
,"Mar 7, 2022",856.30,866.14,804.57,804.58,"24,164,724"
,"Mar 8, 2022",795.53,849.99,782.17,824.40,"26,799,702"
,"Mar 9, 2022",839.48,860.56,832.01,858.97,"19,727,993"
,"Mar 10, 2022",851.45,854.45,810.36,838.30,"19,549,548"
,"Mar 11, 2022",840.20,843.80,793.77,795.35,"22,345,722"
